sku,type,name,url,url_image
42MODG217,Lentes Oftalmicos,Lentes Ópticos Dorothy Gaynor Dama Vino,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-vino-217-s,https://www.lentesplus.com/media/catalog/product/V/D/VDY.110A1.0BRG.56_image_1_2.png
45MODG217,Gafas,Lentes Ópticos Dorothy Gaynor Dama Vino,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-vino-217,https://www.lentesplus.com/media/catalog/product/V/D/VDY.110A1.0BRG.56_image_1_1_1.png
4000,,Óculos de Sol Absurda Adoki Lobo 2026 363 00,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-adoki-lobo-2026-363-00-68882,https://OneLens.fbitsstatic.net/img/p/298175/oculos-de-sol-absurda-adoki-lobo-2026-363-00-68882/298175.jpg?w=800&h=800
46566003,Lentes Oftalmicos,Óculos de grau Carrera Carrera 8831 3 55,https://www.livo.com.br/produto/oculos-de-grau-carrera-carrera-8831-3-55-152003,
4003,,Óculos de Sol Absurda El Polonio 2016 226 33,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-absurda-el-polonio-2016-226-33-68892,https://OneLens.fbitsstatic.net/img/p/298186/oculos-de-sol-absurda-el-polonio-2016-226-33-68892/298186.jpg?w=800&h=800
48729002,Lentes Oftalmicos,Óculos de grau Carrera Carrera 1115 3 52,https://www.livo.com.br/produto/oculos-de-grau-carrera-carrera-1115-3-52-152004,
48732002,Lentes Oftalmicos,Óculos de grau Carrera Carrera 233 86 50,https://www.livo.com.br/produto/oculos-de-grau-carrera-carrera-233-86-50-152005,
49888005,Lentes Oftalmicos,Óculos de grau Carrera Carrera 244 86 51,https://www.livo.com.br/produto/oculos-de-grau-carrera-carrera-244-86-51-152006,
47331000,Lentes Oftalmicos,Óculos de grau Hugo Boss Boss 1040 RIW 57,https://www.livo.com.br/produto/oculos-de-grau-hugo-boss-boss-1040-riw-57-152010,
237,,Clens 100 - Solução umidificante para lentes de contato,https://www.newlentes.com.br/produto/clens-100-solucao-umidificante-para-lentes-de-contato-71249,https://Newlentes.fbitsstatic.net/img/p/885006/clens-100-solucao-umidificante-para-lentes-de-contato-71249/885006-2.jpg?w=800&h=800
4080740302021,,Óculos de Sol Evoke Mystique Tartaruga e Dourado / Marrom degradê 55,https://www.MinhaOticaOnline.com.br/produto/oculos-de-sol-evoke-mystique-tartaruga-e-dourado-marrom-degrade-55-69133,https://OneLens.fbitsstatic.net/img/p/322651/oculos-de-sol-evoke-mystique-tartaruga-e-dourado-marrom-degrade-55-69133/322651.jpg?w=800&h=800
